orchard_id,latitude,longitude,evi,year,doy,Municipality
X12,41.10728836,36.68497849,0.3758,2008,257,Samsun
X12,41.10728836,36.68497849,0.3706,2008,273,Samsun
X12,41.10728836,36.68497849,0.3565,2008,289,Samsun
X12,41.10728836,36.68497849,0.3215,2008,305,Samsun
X12,41.10728836,36.68497849,0.2678,2008,321,Samsun
X12,41.10728836,36.68497849,0.2486,2008,337,Samsun
X12,41.10728836,36.68497849,0.2671,2008,353,Samsun
X12,41.10728836,36.68497849,0.2284,2009,1,Samsun
X12,41.10728836,36.68497849,0.2374,2009,17,Samsun
X12,41.10728836,36.68497849,0.2627,2009,33,Samsun
X12,41.10728836,36.68497849,0.2816,2009,49,Samsun
X12,41.10728836,36.68497849,0.2896,2009,65,Samsun
X12,41.10728836,36.68497849,0.3147,2009,81,Samsun
X12,41.10728836,36.68497849,0.5018,2009,97,Samsun
X12,41.10728836,36.68497849,0.5448,2009,113,Samsun
X12,41.10728836,36.68497849,0.6184,2009,129,Samsun
X12,41.10728836,36.68497849,0.6448,2009,145,Samsun
X12,41.10728836,36.68497849,0.68,2009,161,Samsun
X12,41.10728836,36.68497849,0.5975,2009,177,Samsun
X12,41.10728836,36.68497849,0.614,2009,193,Samsun
X12,41.10728836,36.68497849,0.5574,2009,209,Samsun
X12,41.10728836,36.68497849,0.4967,2009,225,Samsun
X12,41.10728836,36.68497849,0.5149,2009,241,Samsun
X12,41.10728836,36.68497849,0.4692,2009,257,Samsun
X12,41.10728836,36.68497849,0.4235,2009,273,Samsun
X12,41.10728836,36.68497849,0.3955,2009,289,Samsun
X12,41.10728836,36.68497849,0.3134,2009,305,Samsun
X12,41.10728836,36.68497849,0.2992,2009,321,Samsun
X12,41.10728836,36.68497849,0.2283,2009,337,Samsun
X12,41.10728836,36.68497849,0.2469,2009,353,Samsun
X12,41.10728836,36.68497849,0.2228,2010,1,Samsun
X12,41.10728836,36.68497849,0.3053,2010,17,Samsun
X12,41.10728836,36.68497849,0.1714,2010,33,Samsun
X12,41.10728836,36.68497849,0.2388,2010,49,Samsun
X12,41.10728836,36.68497849,0.2717,2010,65,Samsun
X12,41.10728836,36.68497849,0.4495,2010,81,Samsun
X12,41.10728836,36.68497849,0.4991,2010,97,Samsun
X12,41.10728836,36.68497849,0.6117,2010,113,Samsun
X12,41.10728836,36.68497849,0.6447,2010,129,Samsun
X12,41.10728836,36.68497849,0.6371,2010,145,Samsun
X12,41.10728836,36.68497849,0.5383,2010,161,Samsun
X12,41.10728836,36.68497849,0.5804,2010,177,Samsun
X12,41.10728836,36.68497849,0.603,2010,193,Samsun
X12,41.10728836,36.68497849,0.5399,2010,209,Samsun
X12,41.10728836,36.68497849,0.5198,2010,225,Samsun
X12,41.10728836,36.68497849,0.6106,2010,241,Samsun
X12,41.10728836,36.68497849,0.4448,2010,257,Samsun
X12,41.10728836,36.68497849,0.427,2010,273,Samsun
X12,41.10728836,36.68497849,0.3316,2010,289,Samsun
X12,41.10728836,36.68497849,0.2677,2010,305,Samsun
X12,41.10728836,36.68497849,0.2868,2010,321,Samsun
X12,41.10728836,36.68497849,0.2614,2010,337,Samsun
X12,41.10728836,36.68497849,0.1672,2010,353,Samsun
X12,41.10728836,36.68497849,0.2415,2011,1,Samsun
X12,41.10728836,36.68497849,0.2516,2011,17,Samsun
X12,41.10728836,36.68497849,0.2133,2011,33,Samsun
X12,41.10728836,36.68497849,0.2702,2011,49,Samsun
X12,41.10728836,36.68497849,0.2405,2011,65,Samsun
X12,41.10728836,36.68497849,0.2734,2011,81,Samsun
X12,41.10728836,36.68497849,0.2833,2011,97,Samsun
X12,41.10728836,36.68497849,0.5365,2011,113,Samsun
X12,41.10728836,36.68497849,0.6685,2011,129,Samsun
X12,41.10728836,36.68497849,0.7323,2011,145,Samsun
X12,41.10728836,36.68497849,0.7154,2011,161,Samsun
X12,41.10728836,36.68497849,0.5945,2011,177,Samsun
X12,41.10728836,36.68497849,0.6353,2011,193,Samsun
X12,41.10728836,36.68497849,0.6815,2011,209,Samsun
X12,41.10728836,36.68497849,0.5937,2011,225,Samsun
X12,41.10728836,36.68497849,0.5716,2011,241,Samsun
X12,41.10728836,36.68497849,0.4979,2011,257,Samsun
X12,41.10728836,36.68497849,0.5217,2011,273,Samsun
X12,41.10728836,36.68497849,0.4648,2011,289,Samsun
X12,41.10728836,36.68497849,0.3657,2011,305,Samsun
X12,41.10728836,36.68497849,0.2383,2011,321,Samsun
X12,41.10728836,36.68497849,0.2295,2011,337,Samsun
X12,41.10728836,36.68497849,0.223,2011,353,Samsun
X12,41.10728836,36.68497849,0.2277,2012,1,Samsun
X12,41.10728836,36.68497849,0.2385,2012,17,Samsun
X12,41.10728836,36.68497849,0.2304,2012,33,Samsun
X12,41.10728836,36.68497849,0.2176,2012,49,Samsun
X12,41.10728836,36.68497849,0.2324,2012,65,Samsun
X12,41.10728836,36.68497849,0.2781,2012,81,Samsun
X12,41.10728836,36.68497849,0.6371,2012,97,Samsun
X12,41.10728836,36.68497849,0.6125,2012,113,Samsun
X12,41.10728836,36.68497849,0.7443,2012,129,Samsun
X12,41.10728836,36.68497849,0.7218,2012,145,Samsun
X12,41.10728836,36.68497849,0.6947,2012,161,Samsun
X12,41.10728836,36.68497849,0.6592,2012,177,Samsun
X12,41.10728836,36.68497849,0.6672,2012,193,Samsun
X12,41.10728836,36.68497849,0.6103,2012,209,Samsun
X12,41.10728836,36.68497849,0.6286,2012,225,Samsun
X12,41.10728836,36.68497849,0.6947,2012,241,Samsun
X12,41.10728836,36.68497849,0.4539,2012,257,Samsun
X12,41.10728836,36.68497849,0.3743,2012,273,Samsun
X12,41.10728836,36.68497849,0.3141,2012,289,Samsun
X12,41.10728836,36.68497849,0.2912,2012,305,Samsun
X12,41.10728836,36.68497849,0.2597,2012,321,Samsun
X12,41.10728836,36.68497849,0.259,2012,337,Samsun
X12,41.10728836,36.68497849,0.2689,2012,353,Samsun
X12,41.10728836,36.68497849,0.2689,2013,1,Samsun
X12,41.10728836,36.68497849,0.3302,2013,17,Samsun
X12,41.10728836,36.68497849,0.2362,2013,33,Samsun
X12,41.10728836,36.68497849,0.2362,2013,49,Samsun
X12,41.10728836,36.68497849,0.2315,2013,65,Samsun
X12,41.10728836,36.68497849,0.4061,2013,81,Samsun
X12,41.10728836,36.68497849,0.6076,2013,97,Samsun
X12,41.10728836,36.68497849,0.6111,2013,113,Samsun
X12,41.10728836,36.68497849,0.6027,2013,129,Samsun
X12,41.10728836,36.68497849,0.6802,2013,145,Samsun
X12,41.10728836,36.68497849,0.6185,2013,161,Samsun
X12,41.10728836,36.68497849,0.6364,2013,177,Samsun
X12,41.10728836,36.68497849,0.593,2013,193,Samsun
X12,41.10728836,36.68497849,0.6076,2013,209,Samsun
X12,41.10728836,36.68497849,0.4968,2013,225,Samsun
X12,41.10728836,36.68497849,0.5259,2013,241,Samsun
X12,41.10728836,36.68497849,0.4639,2013,257,Samsun
X12,41.10728836,36.68497849,0.4523,2013,273,Samsun
X12,41.10728836,36.68497849,0.3643,2013,289,Samsun
X12,41.10728836,36.68497849,0.3951,2013,305,Samsun
X12,41.10728836,36.68497849,0.3235,2013,321,Samsun
X12,41.10728836,36.68497849,0.2533,2013,337,Samsun
X12,41.10728836,36.68497849,0.2137,2013,353,Samsun
X12,41.10728836,36.68497849,0.2035,2014,1,Samsun
X12,41.10728836,36.68497849,0.2099,2014,17,Samsun
X12,41.10728836,36.68497849,0.217,2014,33,Samsun
X12,41.10728836,36.68497849,0.2066,2014,49,Samsun
X12,41.10728836,36.68497849,0.3754,2014,65,Samsun
X12,41.10728836,36.68497849,0.5004,2014,81,Samsun
X12,41.10728836,36.68497849,0.5992,2014,97,Samsun
X12,41.10728836,36.68497849,0.6153,2014,113,Samsun
X12,41.10728836,36.68497849,0.6601,2014,129,Samsun
X12,41.10728836,36.68497849,0.6806,2014,145,Samsun
X12,41.10728836,36.68497849,0.5849,2014,161,Samsun
X12,41.10728836,36.68497849,0.5774,2014,177,Samsun
X12,41.10728836,36.68497849,0.6096,2014,193,Samsun
X12,41.10728836,36.68497849,0.5158,2014,209,Samsun
X12,41.10728836,36.68497849,0.5354,2014,225,Samsun
X12,41.10728836,36.68497849,0.5315,2014,241,Samsun
X12,41.10728836,36.68497849,0.4757,2014,257,Samsun
X12,41.10728836,36.68497849,0.4159,2014,273,Samsun
X12,41.10728836,36.68497849,0.3717,2014,289,Samsun
