orchard_id,latitude,longitude,ndvi,year,doy,Municipality
X12,41.10728836,36.68497849,0.7505,2009,273,Samsun
X12,41.10728836,36.68497849,0.6685,2009,289,Samsun
X12,41.10728836,36.68497849,0.623,2009,305,Samsun
X12,41.10728836,36.68497849,0.5885,2009,321,Samsun
X12,41.10728836,36.68497849,0.4866,2009,337,Samsun
X12,41.10728836,36.68497849,0.5155,2009,353,Samsun
X12,41.10728836,36.68497849,0.5204,2010,1,Samsun
X12,41.10728836,36.68497849,0.5043,2010,17,Samsun
X12,41.10728836,36.68497849,0.1907,2010,33,Samsun
X12,41.10728836,36.68497849,0.4254,2010,49,Samsun
X12,41.10728836,36.68497849,0.534,2010,65,Samsun
X12,41.10728836,36.68497849,0.7244,2010,81,Samsun
X12,41.10728836,36.68497849,0.7582,2010,97,Samsun
X12,41.10728836,36.68497849,0.7996,2010,113,Samsun
X12,41.10728836,36.68497849,0.7968,2010,129,Samsun
X12,41.10728836,36.68497849,0.7959,2010,145,Samsun
X12,41.10728836,36.68497849,0.7945,2010,161,Samsun
X12,41.10728836,36.68497849,0.8682,2010,177,Samsun
X12,41.10728836,36.68497849,0.8445,2010,193,Samsun
X12,41.10728836,36.68497849,0.7997,2010,209,Samsun
X12,41.10728836,36.68497849,0.8087,2010,225,Samsun
X12,41.10728836,36.68497849,0.8133,2010,241,Samsun
X12,41.10728836,36.68497849,0.7631,2010,257,Samsun
X12,41.10728836,36.68497849,0.7781,2010,273,Samsun
X12,41.10728836,36.68497849,0.6737,2010,289,Samsun
X12,41.10728836,36.68497849,0.5133,2010,305,Samsun
X12,41.10728836,36.68497849,0.5421,2010,321,Samsun
X12,41.10728836,36.68497849,0.5234,2010,337,Samsun
X12,41.10728836,36.68497849,0.4877,2010,353,Samsun
X12,41.10728836,36.68497849,0.517,2011,1,Samsun
X12,41.10728836,36.68497849,0.5143,2011,17,Samsun
X12,41.10728836,36.68497849,0.4691,2011,33,Samsun
X12,41.10728836,36.68497849,0.4849,2011,49,Samsun
X12,41.10728836,36.68497849,0.446,2011,65,Samsun
X12,41.10728836,36.68497849,0.4855,2011,81,Samsun
X12,41.10728836,36.68497849,0.548,2011,97,Samsun
X12,41.10728836,36.68497849,0.7501,2011,113,Samsun
X12,41.10728836,36.68497849,0.8514,2011,129,Samsun
X12,41.10728836,36.68497849,0.8503,2011,145,Samsun
X12,41.10728836,36.68497849,0.8319,2011,161,Samsun
X12,41.10728836,36.68497849,0.8412,2011,177,Samsun
X12,41.10728836,36.68497849,0.8696,2011,193,Samsun
X12,41.10728836,36.68497849,0.607,2011,209,Samsun
X12,41.10728836,36.68497849,0.8455,2011,225,Samsun
X12,41.10728836,36.68497849,0.8211,2011,241,Samsun
X12,41.10728836,36.68497849,0.8145,2011,257,Samsun
X12,41.10728836,36.68497849,0.8012,2011,273,Samsun
X12,41.10728836,36.68497849,0.7711,2011,289,Samsun
X12,41.10728836,36.68497849,0.7352,2011,305,Samsun
X12,41.10728836,36.68497849,0.5299,2011,321,Samsun
X12,41.10728836,36.68497849,0.4864,2011,337,Samsun
X12,41.10728836,36.68497849,0.4683,2011,353,Samsun
X12,41.10728836,36.68497849,0.4635,2012,1,Samsun
